node	age	age_min	age_max
Oryzias_latipes	0	0	0
Oreochromis_niloticus	0	0	0
Gadus_morhua	0	0	0
Astyanax_mexicanus	0	0	0
Danio_rerio	0	0	0
Xenopus_tropicalis	0	0	0
Anolis_carolinensis	0	0	0
Gallus_gallus	0	0	0
Monodelphis_domestica	0	0	0
Canis_lupus	0	0	0
Bos_taurus	0	0	0
Ovis_aries	0	0	0
Sus_scrofa	0	0	0
Oryctolagus_cuniculus	0	0	0
Chinchilla_lanigera	0	0	0
Rattus_norvegicus	0	0	0
Mus_musculus	0	0	0
Callithrix_jacchus	0	0	0
Macaca_mulatta	0	0	0
Homo_sapiens	0	0	0
Ornithorhynchus_anatinus	0	0	0
'Root'	435.32407462	435.32407462	435.32407462
'n10'	229.90276097	229.90276097	229.90276097
'n13'	148	148	148
'n14'	119.36353222	119.36353222	119.36353222
'n11'	152.58543177	152.58543177	152.58543177
'n47'	351.75848322	351.75848322	351.75848322
'n51'	311.90392137	311.90392137	311.90392137
'n19'	279.65697667	279.65697667	279.65697667
'n48'	176.92749822	176.92749822	176.92749822
'n40'	158.59758758	158.59758758	158.59758758
'n42'	96.4623891700001	96.4623891700001	96.4623891700001
'n8'	77.7549564100001	77.7549564100001	77.7549564100001
'n22'	61.9659885200001	61.9659885200001	61.9659885200001
'n9'	24.6000000000001	24.6000000000001	24.6000000000001
'n43'	89.8231874200001	89.8231874200001	89.8231874200001
'n29'	82.1407988900001	82.1407988900001	82.1407988900001
'n30'	72.8767081600001	72.8767081600001	72.8767081600001
'n6'	20.8874174000001	20.8874174000001	20.8874174000001
'n35'	43.1512963500001	43.1512963500001	43.1512963500001
'n27'	29.4415468200001	29.4415468200001	29.4415468200001
